Corridor_ID,Direction,Origin_Name,Destination_Name,Origin_Lat,Origin_Lng,Destination_Lat,Destination_Lng,Estimated_Distance_km
1,Forward,Rythu Bazar RTC, Lodge Center,16.31131,80.43899,16.30689,80.43672,
1,Reverse, Lodge Center,Rythu Bazar RTC,16.30689,80.43672,16.31131,80.43899,
2,Forward, Lodge Center,Syamala Nagar,16.30689,80.43672,16.30929,80.40872,
2,Reverse,Syamala Nagar, Lodge Center,16.30929,80.40872,16.30689,80.43672,
3,Forward,Shankar Vilas,Lakshmipuram Main Road,16.30182,80.43888,16.30859,80.43547,
3,Reverse,Lakshmipuram Main Road,Shankar Vilas,16.30859,80.43547,16.30182,80.43888,
4,Forward,Lakshmipuram Main Road,SVN Colony,16.30859,80.43547,16.3244,80.4147,
4,Reverse,SVN Colony,Lakshmipuram Main Road,16.3244,80.4147,16.30859,80.43547,
5,Forward,SVN Colony,Syamala Nagar,16.3244,80.4147,16.30929,80.40872,
5,Reverse,Syamala Nagar,SVN Colony,16.30929,80.40872,16.3244,80.4147,
6,Forward,Syamala Nagar,Chuttugunta Center,16.30929,80.40872,16.2985,80.4300,
6,Reverse,Chuttugunta Center,Syamala Nagar,16.2985,80.4300,16.30929,80.40872,
7,Forward,Chuttugunta Center,Rythu Bazar RTC,16.2985,80.4300,16.31131,80.43899,
7,Reverse,Rythu Bazar RTC,Chuttugunta Center,16.31131,80.43899,16.2985,80.4300,
8,Forward,Old Club Road,Nehru Nagar,16.29927,80.45053,16.30689,80.45157,
8,Reverse,Nehru Nagar,Old Club Road,16.30689,80.45157,16.29927,80.45053,
9,Forward,Nehru Nagar, Lodge Center,16.30689,80.45157,16.30689,80.43672,
9,Reverse, Lodge Center,Nehru Nagar,16.30689,80.43672,16.30689,80.45157,
10,Forward,Old Club Road,SVN Colony,16.29927,80.45053,16.3244,80.4147,
10,Reverse,SVN Colony,Old Club Road,16.3244,80.4147,16.29927,80.45053,
